# File	v_rad_bary [km/s]	v_rad_heli [km/s]
HD147889_w437_n5_20160807_B.fits	-27.19296	-27.182683
HD147889_w437_n1_20160728_B.fits	-24.880582	-24.870226
HD147889_w346_n1_20140928_B.fits	-26.726467	-26.716207
HD147889_w346_n1_20140927_B.fits	-26.71255	-26.70229
HD147889_w346_n6_20150816_B.fits	-28.695519	-28.683963
HD147889_w564_n5_20140928_U.fits	-26.729448	-26.719188
HD147889_w564_n1_20140927_L.fits	-26.712561	-26.702301
HD147889_w564_n1_20140927_U.fits	-26.712561	-26.702301
HD147889_w564_n18_20150816_U.fits	-28.640556	-28.629
HD147889_w564_n5_20140928_L.fits	-26.729448	-26.719188
HD147889_w564_n18_20150816_L.fits	-28.640556	-28.629
HD147889_w860_n11_20160807_U.fits	-27.264382	-27.254105
HD147889_w860_n2_20160728_L.fits	-24.880561	-24.870205
HD147889_w860_n11_20160807_L.fits	-27.264382	-27.254105
HD147889_w860_n2_20160728_U.fits	-24.880561	-24.870205
lambdaSco_w437_n78_20150721_B.fits	-15.608458	-15.597571
lambdaSco_w346_n30_20150720_B.fits	-15.722503	-15.71162
lambdaSco_w564_n24_20150720_U.fits	-15.724233	-15.71335
lambdaSco_w564_n24_20150720_L.fits	-15.724233	-15.71335
lambdaSco_w860_n60_20150721_U.fits	-15.599091	-15.588205
lambdaSco_w860_n60_20150721_L.fits	-15.599091	-15.588205
HD170740_w437_n10_20160613_B.fits	7.413839	7.425746
HD170740_w437_n20_20140915_B.fits	-28.277084	-28.27062
HD170740_w437_n20_20140916_B.fits	-28.457367	-28.450889
HD170740_w437_n14_20170705_B.fits	-2.534322	-2.523254
HD170740_w437_n20_20150626_B.fits	2.153431	2.163319
HD170740_w346_n9_20170701_B.fits	-0.843865	-0.832768
HD170740_w346_n6_20160612_B.fits	8.067663	8.079569
HD170740_w346_n2_20160505_B.fits	23.532894	23.544754
HD170740_w346_n20_20150424_B.fits	26.120001	26.129348
HD170740_w346_n20_20140916_B.fits	-28.343992	-28.337515
HD170740_w564_n9_20160612_U.fits	8.088213	8.100119
HD170740_w564_n9_20160612_L.fits	8.088213	8.100119
HD170740_w564_n10_20170701_U.fits	-0.814965	-0.803867
HD170740_w564_n24_20140916_L.fits	-28.360738	-28.35426
HD170740_w564_n2_20160505_L.fits	23.528665	23.540525
HD170740_w564_n24_20150424_L.fits	26.158605	26.167952
HD170740_w564_n10_20170701_L.fits	-0.814965	-0.803867
HD170740_w564_n24_20140916_U.fits	-28.360738	-28.35426
HD170740_w564_n24_20150424_U.fits	26.158605	26.167952
HD170740_w564_n2_20160505_U.fits	23.528665	23.540525
HD170740_w860_n20_20150626_L.fits	2.161621	2.171509
HD170740_w860_n12_20160613_L.fits	7.416919	7.428825
HD170740_w860_n12_20160613_U.fits	7.416919	7.428825
HD170740_w860_n20_20140916_L.fits	-28.457571	-28.451092
HD170740_w860_n20_20150626_U.fits	2.161621	2.171509
HD170740_w860_n16_20170705_U.fits	-2.510949	-2.49988
HD170740_w860_n20_20140916_U.fits	-28.457571	-28.451092
HD170740_w860_n16_20170705_L.fits	-2.510949	-2.49988
HD170740_w860_n20_20140915_L.fits	-28.296015	-28.289551
HD170740_w860_n20_20140915_U.fits	-28.296015	-28.289551
HD185859_w437_n5_20160813_B.fits	-7.477831	-7.469221
HD185859_w437_n5_20160905_B.fits	-14.956181	-14.947473
HD185859_w437_n21_20160907_B.fits	-15.478561	-15.469846
HD185859_w346_n4_20160813_B.fits	-7.339802	-7.331191
HD185859_w346_n8_20150920_B.fits	-18.577596	-18.571518
HD185859_w346_n4_20160814_B.fits	-7.537217	-7.528603
HD185859_w564_n10_20150920_U.fits	-18.616773	-18.610694
HD185859_w564_n8_20160814_L.fits	-7.609499	-7.600885
HD185859_w564_n10_20150920_L.fits	-18.616773	-18.610694
HD185859_w564_n8_20160813_L.fits	-7.428693	-7.420083
HD185859_w564_n8_20160814_U.fits	-7.609499	-7.600885
HD185859_w564_n8_20160813_U.fits	-7.428693	-7.420083
HD185859_w860_n26_20160907_U.fits	-15.4951	-15.486384
HD185859_w860_n26_20160907_L.fits	-15.4951	-15.486384
HD185859_w860_n8_20160813_U.fits	-7.472611	-7.464
HD185859_w860_n8_20160813_L.fits	-7.472611	-7.464
HD185859_w860_n8_20160905_L.fits	-14.969756	-14.961048
HD185859_w860_n8_20160905_U.fits	-14.969756	-14.961048